z,symbol,mass_number,mass_to_charge,energy_mev_per_nucleon,let_electronic_mev_cm2_mg,let_nuclear_mev_cm2_mg,let_total_mev_cm2_mg,electronic_source_sheet,nuclear_source_sheet
6,C,12.0,2.0,75.0,0.255,0.0001059,0.2551059,i_Si_e,i_Si_n
6,C,12.0,2.0,83.33333333333333,0.236,9.624e-05,0.23609623999999999,i_Si_e,i_Si_n
6,C,12.0,2.0,91.66666666666667,0.22,8.822e-05,0.22008822,i_Si_e,i_Si_n
6,C,12.0,2.0,100.0,0.206,8.148e-05,0.20608147999999998,i_Si_e,i_Si_n
6,C,12.0,2.0,108.33333333333333,0.194,7.573e-05,0.19407573,i_Si_e,i_Si_n
6,C,12.0,2.0,116.66666666666667,0.184,7.077e-05,0.18407077,i_Si_e,i_Si_n
6,C,12.0,2.0,125.0,0.175,6.644e-05,0.17506644,i_Si_e,i_Si_n
6,C,12.0,2.0,133.33333333333334,0.167,6.263e-05,0.16706263000000002,i_Si_e,i_Si_n
6,C,12.0,2.0,141.66666666666666,0.16,5.925e-05,0.16005925000000001,i_Si_e,i_Si_n
6,C,12.0,2.0,150.0,0.154,5.622e-05,0.15405622,i_Si_e,i_Si_n
6,C,12.0,2.0,166.66666666666666,0.144,5.105e-05,0.14405104999999999,i_Si_e,i_Si_n
6,C,12.0,2.0,187.5,0.133,4.582e-05,0.13304582,i_Si_e,i_Si_n
6,C,12.0,2.0,208.33333333333334,0.124,4.159e-05,0.12404159,i_Si_e,i_Si_n
6,C,12.0,2.0,229.16666666666666,0.117,3.81e-05,0.1170381,i_Si_e,i_Si_n
6,C,12.0,2.0,250.0,0.111,3.517e-05,0.11103517,i_Si_e,i_Si_n
6,C,12.0,2.0,270.8333333333333,0.106,3.267e-05,0.10603267,i_Si_e,i_Si_n
6,C,12.0,2.0,291.6666666666667,0.102,3.052e-05,0.10203052,i_Si_e,i_Si_n
6,C,12.0,2.0,312.5,0.0978,2.864e-05,0.09782864,i_Si_e,i_Si_n
6,C,12.0,2.0,333.3333333333333,0.0945,2.699e-05,0.09452699,i_Si_e,i_Si_n
6,C,12.0,2.0,375.0,0.089,2.421e-05,0.08902420999999999,i_Si_e,i_Si_n
6,C,12.0,2.0,416.6666666666667,0.0846,2.197e-05,0.08462196999999999,i_Si_e,i_Si_n
6,C,12.0,2.0,458.3333333333333,0.081,2.011e-05,0.08102011,i_Si_e,i_Si_n
6,C,12.0,2.0,500.0,0.0781,1.856e-05,0.07811856,i_Si_e,i_Si_n
6,C,12.0,2.0,541.6666666666666,0.0756,1.724e-05,0.07561724,i_Si_e,i_Si_n
6,C,12.0,2.0,583.3333333333334,0.0735,1.61e-05,0.0735161,i_Si_e,i_Si_n
6,C,12.0,2.0,666.6666666666666,0.0702,1.422e-05,0.07021422,i_Si_e,i_Si_n
6,C,12.0,2.0,750.0,0.0677,1.275e-05,0.06771275,i_Si_e,i_Si_n
6,C,12.0,2.0,833.3333333333334,0.0657,1.157e-05,0.06571157,i_Si_e,i_Si_n
6,C,12.0,2.0,916.6666666666666,9.94295258683482e-06,1.059326023301747e-05,2.053621281985229e-05,i_Si_e,i_Si_n
6,C,12.0,2.0,1000.0,9.173541076088092e-06,9.77374686213009e-06,1.8947287938218184e-05,i_Si_e,i_Si_n
6,C,12.0,2.0,1083.3333333333333,8.518439420335929e-06,9.075971737283186e-06,1.7594411157619115e-05,i_Si_e,i_Si_n
6,C,12.0,2.0,1166.6666666666667,7.953692883602805e-06,8.474425444376637e-06,1.642811832797944e-05,i_Si_e,i_Si_n
6,C,12.0,2.0,1250.0,7.461632470749147e-06,7.950291878153183e-06,1.541192434890233e-05,i_Si_e,i_Si_n
6,C,12.0,2.0,1333.3333333333333,7.028935007255857e-06,7.489382628169858e-06,1.4518317635425715e-05,i_Si_e,i_Si_n
6,C,12.0,2.0,1416.6666666666667,6.645361017081428e-06,7.080793053986888e-06,1.3726154071068316e-05,i_Si_e,i_Si_n
6,C,12.0,2.0,1500.0,6.302909020726501e-06,6.716001754288499e-06,1.3018910775015e-05,i_Si_e,i_Si_n
6,C,12.0,2.0,1666.6666666666667,5.717239313577163e-06,6.09211377387195e-06,1.1809353087449112e-05,i_Si_e,i_Si_n
6,C,12.0,2.0,1875.0,5.126699735592815e-06,5.463019960918626e-06,1.0589719696511442e-05,i_Si_e,i_Si_n
6,C,12.0,2.0,2083.3333333333335,4.650324029880789e-06,4.955528656554911e-06,9.6058526864357e-06,i_Si_e,i_Si_n
6,C,12.0,2.0,2291.6666666666665,4.257638245167882e-06,4.537182770186826e-06,8.794821015354708e-06,i_Si_e,i_Si_n
6,C,12.0,2.0,2500.0,3.928171133078344e-06,4.186178276335285e-06,8.114349409413628e-06,i_Si_e,i_Si_n
6,C,12.0,2.0,2708.3333333333335,3.647652259067389e-06,3.887315300794222e-06,7.534967559861612e-06,i_Si_e,i_Si_n
6,C,12.0,2.0,2916.6666666666665,3.405824046308458e-06,3.629667946192433e-06,7.035491992500891e-06,i_Si_e,i_Si_n
6,C,12.0,2.0,3125.0,3.195120513891666e-06,3.405177115830932e-06,6.600297629722598e-06,i_Si_e,i_Si_n
6,C,12.0,2.0,3333.3333333333335,3.009836590120822e-06,3.207765793759742e-06,6.217602383880564e-06,i_Si_e,i_Si_n
6,C,12.0,2.0,3750.0,2.698947447259371e-06,2.876520237757107e-06,5.575467685016479e-06,i_Si_e,i_Si_n
7,N,14.0,2.0,0.07142857142857142,4.71,0.0564,4.7664,i_Si_e,i_Si_n
7,N,14.0,2.0,0.07857142857142858,4.9,0.05245,4.952450000000001,i_Si_e,i_Si_n
7,N,14.0,2.0,0.08571428571428572,5.07,0.04906,5.11906,i_Si_e,i_Si_n
7,N,14.0,2.0,0.09285714285714286,5.21,0.04612,5.25612,i_Si_e,i_Si_n
7,N,14.0,2.0,0.09999999999999999,5.33,0.04355,5.37355,i_Si_e,i_Si_n
7,N,14.0,2.0,0.10714285714285714,5.43,0.04127,5.47127,i_Si_e,i_Si_n
7,N,14.0,2.0,0.1142857142857143,5.52,0.03924,5.55924,i_Si_e,i_Si_n
7,N,14.0,2.0,0.12142857142857143,5.6,0.03742,5.63742,i_Si_e,i_Si_n
7,N,14.0,2.0,0.1285714285714286,5.66,0.03577,5.69577,i_Si_e,i_Si_n
7,N,14.0,2.0,0.14285714285714285,5.77,0.03291,5.80291,i_Si_e,i_Si_n
7,N,14.0,2.0,0.16071428571428573,5.86,0.02997,5.88997,i_Si_e,i_Si_n
7,N,14.0,2.0,0.17857142857142858,5.93,0.02755,5.9575499999999995,i_Si_e,i_Si_n
7,N,14.0,2.0,0.19642857142857142,5.97,0.02552,5.99552,i_Si_e,i_Si_n
7,N,14.0,2.0,0.21428571428571427,6.0,0.02379,6.02379,i_Si_e,i_Si_n
7,N,14.0,2.0,0.23214285714285715,6.02,0.02229,6.0422899999999995,i_Si_e,i_Si_n
7,N,14.0,2.0,0.25,6.03,0.02099,6.0509900000000005,i_Si_e,i_Si_n
7,N,14.0,2.0,0.26785714285714285,6.04,0.01984,6.05984,i_Si_e,i_Si_n
7,N,14.0,2.0,0.2857142857142857,6.04,0.01882,6.05882,i_Si_e,i_Si_n
