model,product,parameter,n,probability,value,source_table
gost_r_25645_165_2025,peak_flux,break_energy_mev,8,0.01,16.85,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,8,0.001,13.9,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,16,0.9,8.915,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,16,0.75,11.91,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,16,0.5,13.9,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,16,0.25,18.3,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,16,0.1,19.13,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,16,0.01,16.1,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,16,0.001,13.1,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,32,0.9,12.6,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,32,0.75,15.2,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,32,0.5,18.28,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,32,0.25,19.2,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,32,0.1,18.21,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,32,0.01,15.25,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,32,0.001,12.71,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,64,0.9,17.016,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,64,0.75,18.4,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,64,0.5,19.33,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,64,0.25,18.78,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,64,0.1,16.85,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,64,0.01,14.15,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,64,0.001,10.8,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,128,0.9,19.096,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,128,0.75,19.78,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,128,0.5,19.78,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,128,0.25,17.6,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,128,0.1,16.06,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,128,0.01,12.97,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,128,0.001,9.7,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,256,0.9,19.765,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,256,0.75,19.71,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,256,0.5,18.5,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,256,0.25,16.7,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,256,0.1,15.5,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,256,0.01,12,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,256,0.001,8.8,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,512,0.9,20.513,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,512,0.75,18.58,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,512,0.5,16.8,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,512,0.25,15.63,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,512,0.1,14.84,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,512,0.01,11.11,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,512,0.001,7.8,table_6
gost_r_25645_165_2025,peak_flux,gamma1,1,0.9,,table_7
gost_r_25645_165_2025,peak_flux,gamma1,1,0.75,,table_7
gost_r_25645_165_2025,peak_flux,gamma1,1,0.5,1.65,table_7
gost_r_25645_165_2025,peak_flux,gamma1,1,0.25,1.601,table_7
gost_r_25645_165_2025,peak_flux,gamma1,1,0.1,1.459,table_7
gost_r_25645_165_2025,peak_flux,gamma1,1,0.01,1.349,table_7
gost_r_25645_165_2025,peak_flux,gamma1,1,0.001,1.394,table_7
gost_r_25645_165_2025,peak_flux,gamma1,2,0.9,,table_7
gost_r_25645_165_2025,peak_flux,gamma1,2,0.75,1.65,table_7
gost_r_25645_165_2025,peak_flux,gamma1,2,0.5,1.59,table_7
gost_r_25645_165_2025,peak_flux,gamma1,2,0.25,1.49,table_7
gost_r_25645_165_2025,peak_flux,gamma1,2,0.1,1.393,table_7
gost_r_25645_165_2025,peak_flux,gamma1,2,0.01,1.351,table_7
gost_r_25645_165_2025,peak_flux,gamma1,2,0.001,1.424,table_7
gost_r_25645_165_2025,peak_flux,gamma1,4,0.9,1.644,table_7
gost_r_25645_165_2025,peak_flux,gamma1,4,0.75,1.59,table_7
gost_r_25645_165_2025,peak_flux,gamma1,4,0.5,1.522,table_7
gost_r_25645_165_2025,peak_flux,gamma1,4,0.25,1.426,table_7
gost_r_25645_165_2025,peak_flux,gamma1,4,0.1,1.374,table_7
gost_r_25645_165_2025,peak_flux,gamma1,4,0.01,1.365,table_7
gost_r_25645_165_2025,peak_flux,gamma1,4,0.001,1.454,table_7
gost_r_25645_165_2025,peak_flux,gamma1,8,0.9,1.6,table_7
gost_r_25645_165_2025,peak_flux,gamma1,8,0.75,1.51,table_7
gost_r_25645_165_2025,peak_flux,gamma1,8,0.5,1.45,table_7
gost_r_25645_165_2025,peak_flux,gamma1,8,0.25,1.4,table_7
gost_r_25645_165_2025,peak_flux,gamma1,8,0.1,1.353,table_7
gost_r_25645_165_2025,peak_flux,gamma1,8,0.01,1.385,table_7
gost_r_25645_165_2025,peak_flux,gamma1,8,0.001,1.48,table_7
gost_r_25645_165_2025,peak_flux,gamma1,16,0.9,1.51,table_7
gost_r_25645_165_2025,peak_flux,gamma1,16,0.75,1.43,table_7
gost_r_25645_165_2025,peak_flux,gamma1,16,0.5,1.4,table_7
gost_r_25645_165_2025,peak_flux,gamma1,16,0.25,1.37,table_7
gost_r_25645_165_2025,peak_flux,gamma1,16,0.1,1.354,table_7
gost_r_25645_165_2025,peak_flux,gamma1,16,0.01,1.41,table_7
gost_r_25645_165_2025,peak_flux,gamma1,16,0.001,1.514,table_7
gost_r_25645_165_2025,peak_flux,gamma1,32,0.9,1.434,table_7
gost_r_25645_165_2025,peak_flux,gamma1,32,0.75,1.382,table_7
gost_r_25645_165_2025,peak_flux,gamma1,32,0.5,1.37,table_7
gost_r_25645_165_2025,peak_flux,gamma1,32,0.25,1.36,table_7
gost_r_25645_165_2025,peak_flux,gamma1,32,0.1,1.356,table_7
gost_r_25645_165_2025,peak_flux,gamma1,32,0.01,1.445,table_7
gost_r_25645_165_2025,peak_flux,gamma1,32,0.001,1.57,table_7
gost_r_25645_165_2025,peak_flux,gamma1,64,0.9,1.379,table_7
gost_r_25645_165_2025,peak_flux,gamma1,64,0.75,1.36,table_7
gost_r_25645_165_2025,peak_flux,gamma1,64,0.5,1.36,table_7
gost_r_25645_165_2025,peak_flux,gamma1,64,0.25,1.346,table_7
gost_r_25645_165_2025,peak_flux,gamma1,64,0.1,1.366,table_7
gost_r_25645_165_2025,peak_flux,gamma1,64,0.01,1.48,table_7
gost_r_25645_165_2025,peak_flux,gamma1,64,0.001,1.65,table_7
gost_r_25645_165_2025,peak_flux,gamma1,128,0.9,1.333,table_7
gost_r_25645_165_2025,peak_flux,gamma1,128,0.75,1.338,table_7
gost_r_25645_165_2025,peak_flux,gamma1,128,0.5,1.352,table_7
gost_r_25645_165_2025,peak_flux,gamma1,128,0.25,1.36,table_7
gost_r_25645_165_2025,peak_flux,gamma1,128,0.1,1.39,table_7
gost_r_25645_165_2025,peak_flux,gamma1,128,0.01,1.526,table_7
gost_r_25645_165_2025,peak_flux,gamma1,128,0.001,1.72,table_7
gost_r_25645_165_2025,peak_flux,gamma1,256,0.9,1.332,table_7
gost_r_25645_165_2025,peak_flux,gamma1,256,0.75,1.347,table_7
gost_r_25645_165_2025,peak_flux,gamma1,256,0.5,1.357,table_7
gost_r_25645_165_2025,peak_flux,gamma1,256,0.25,1.378,table_7
gost_r_25645_165_2025,peak_flux,gamma1,256,0.1,1.415,table_7
gost_r_25645_165_2025,peak_flux,gamma1,256,0.01,1.57,table_7
gost_r_25645_165_2025,peak_flux,gamma1,256,0.001,1.786,table_7
gost_r_25645_165_2025,peak_flux,gamma1,512,0.9,1.35,table_7
gost_r_25645_165_2025,peak_flux,gamma1,512,0.75,1.359,table_7
gost_r_25645_165_2025,peak_flux,gamma1,512,0.5,1.376,table_7
gost_r_25645_165_2025,peak_flux,gamma1,512,0.25,1.413,table_7
gost_r_25645_165_2025,peak_flux,gamma1,512,0.1,1.456,table_7
gost_r_25645_165_2025,peak_flux,gamma1,512,0.01,1.63,table_7
gost_r_25645_165_2025,peak_flux,gamma1,512,0.001,1.823,table_7
gost_r_25645_165_2025,peak_flux,gamma2,1,0.9,,table_8
gost_r_25645_165_2025,peak_flux,gamma2,1,0.75,,table_8
gost_r_25645_165_2025,peak_flux,gamma2,1,0.5,3.224,table_8
gost_r_25645_165_2025,peak_flux,gamma2,1,0.25,3.11,table_8
gost_r_25645_165_2025,peak_flux,gamma2,1,0.1,2.988,table_8
gost_r_25645_165_2025,peak_flux,gamma2,1,0.01,2.784,table_8
gost_r_25645_165_2025,peak_flux,gamma2,1,0.001,2.488,table_8
gost_r_25645_165_2025,peak_flux,gamma2,2,0.9,,table_8
gost_r_25645_165_2025,peak_flux,gamma2,2,0.75,3.198,table_8
gost_r_25645_165_2025,peak_flux,gamma2,2,0.5,3.14,table_8
gost_r_25645_165_2025,peak_flux,gamma2,2,0.25,3.04,table_8
gost_r_25645_165_2025,peak_flux,gamma2,2,0.1,2.92,table_8
gost_r_25645_165_2025,peak_flux,gamma2,2,0.01,2.692,table_8
gost_r_25645_165_2025,peak_flux,gamma2,2,0.001,2.451,table_8
gost_r_25645_165_2025,peak_flux,gamma2,4,0.9,3.18,table_8
gost_r_25645_165_2025,peak_flux,gamma2,4,0.75,3.12,table_8
gost_r_25645_165_2025,peak_flux,gamma2,4,0.5,3.07,table_8
gost_r_25645_165_2025,peak_flux,gamma2,4,0.25,2.963,table_8
gost_r_25645_165_2025,peak_flux,gamma2,4,0.1,2.84,table_8
gost_r_25645_165_2025,peak_flux,gamma2,4,0.01,2.584,table_8
gost_r_25645_165_2025,peak_flux,gamma2,4,0.001,2.4,table_8
gost_r_25645_165_2025,peak_flux,gamma2,8,0.9,3.13,table_8
gost_r_25645_165_2025,peak_flux,gamma2,8,0.75,3.05,table_8
gost_r_25645_165_2025,peak_flux,gamma2,8,0.5,2.989,table_8
gost_r_25645_165_2025,peak_flux,gamma2,8,0.25,2.882,table_8
gost_r_25645_165_2025,peak_flux,gamma2,8,0.1,2.76,table_8
gost_r_25645_165_2025,peak_flux,gamma2,8,0.01,2.49,table_8
gost_r_25645_165_2025,peak_flux,gamma2,8,0.001,2.38,table_8
gost_r_25645_165_2025,peak_flux,gamma2,16,0.9,3.08,table_8
gost_r_25645_165_2025,peak_flux,gamma2,16,0.75,2.97,table_8
gost_r_25645_165_2025,peak_flux,gamma2,16,0.5,2.907,table_8
gost_r_25645_165_2025,peak_flux,gamma2,16,0.25,2.85,table_8
gost_r_25645_165_2025,peak_flux,gamma2,16,0.1,2.68,table_8
gost_r_25645_165_2025,peak_flux,gamma2,16,0.01,2.43,table_8
gost_r_25645_165_2025,peak_flux,gamma2,16,0.001,2.357,table_8
gost_r_25645_165_2025,peak_flux,gamma2,32,0.9,3,table_8
gost_r_25645_165_2025,peak_flux,gamma2,32,0.75,2.89,table_8
gost_r_25645_165_2025,peak_flux,gamma2,32,0.5,2.83,table_8
gost_r_25645_165_2025,peak_flux,gamma2,32,0.25,2.73,table_8
gost_r_25645_165_2025,peak_flux,gamma2,32,0.1,2.61,table_8
gost_r_25645_165_2025,peak_flux,gamma2,32,0.01,2.48,table_8
gost_r_25645_165_2025,peak_flux,gamma2,32,0.001,2.34,table_8
gost_r_25645_165_2025,peak_flux,gamma2,64,0.9,2.93,table_8
gost_r_25645_165_2025,peak_flux,gamma2,64,0.75,2.82,table_8
gost_r_25645_165_2025,peak_flux,gamma2,64,0.5,2.75,table_8
gost_r_25645_165_2025,peak_flux,gamma2,64,0.25,2.64,table_8
gost_r_25645_165_2025,peak_flux,gamma2,64,0.1,2.52,table_8
gost_r_25645_165_2025,peak_flux,gamma2,64,0.01,2.35,table_8
gost_r_25645_165_2025,peak_flux,gamma2,64,0.001,2.328,table_8
gost_r_25645_165_2025,peak_flux,gamma2,128,0.9,2.86,table_8
gost_r_25645_165_2025,peak_flux,gamma2,128,0.75,2.75,table_8
gost_r_25645_165_2025,peak_flux,gamma2,128,0.5,2.67,table_8
gost_r_25645_165_2025,peak_flux,gamma2,128,0.25,2.56,table_8
gost_r_25645_165_2025,peak_flux,gamma2,128,0.1,2.457,table_8
gost_r_25645_165_2025,peak_flux,gamma2,128,0.01,2.34,table_8
gost_r_25645_165_2025,peak_flux,gamma2,128,0.001,2.32,table_8
gost_r_25645_165_2025,peak_flux,gamma2,256,0.9,2.794,table_8
gost_r_25645_165_2025,peak_flux,gamma2,256,0.75,2.66,table_8
gost_r_25645_165_2025,peak_flux,gamma2,256,0.5,2.592,table_8
gost_r_25645_165_2025,peak_flux,gamma2,256,0.25,2.486,table_8
gost_r_25645_165_2025,peak_flux,gamma2,256,0.1,2.42,table_8
gost_r_25645_165_2025,peak_flux,gamma2,256,0.01,2.34,table_8
gost_r_25645_165_2025,peak_flux,gamma2,256,0.001,2.31,table_8
gost_r_25645_165_2025,peak_flux,gamma2,512,0.9,2.724,table_8
gost_r_25645_165_2025,peak_flux,gamma2,512,0.75,2.607,table_8
gost_r_25645_165_2025,peak_flux,gamma2,512,0.5,2.52,table_8
gost_r_25645_165_2025,peak_flux,gamma2,512,0.25,2.439,table_8
gost_r_25645_165_2025,peak_flux,gamma2,512,0.1,2.388,table_8
gost_r_25645_165_2025,peak_flux,gamma2,512,0.01,2.34,table_8
gost_r_25645_165_2025,peak_flux,gamma2,512,0.001,2.3,table_8
