mt,product_index,incident_energy_mev,emitted_energy_mev,pdf_per_mev
5,1,55.0,45.54728,0.002285333
5,1,55.0,46.02926,0.0009894609999999999
5,1,55.0,46.51124,0.001597063
5,1,55.0,46.99322,0.004644189
5,1,55.0,47.47521,0.015208029999999999
5,1,55.0,47.95719,0.0275362
5,1,55.0,48.43917,0.02382957
5,1,55.0,48.92116,0.01184482
5,1,55.0,49.40314,0.0030239859999999998
5,1,55.0,49.88512,0.000306714
5,1,55.0,50.3671,1.72396e-05
5,1,55.0,50.84908,1.8391799999999998e-06
5,1,55.0,51.10691,0.0
5,1,60.0,0.0,5.04578e-07
5,1,60.0,0.1445945,1.01832e-05
5,1,60.0,0.2409909,0.002619093
5,1,60.0,0.3373873,0.0047860640000000005
5,1,60.0,0.4337836,0.006962692
5,1,60.0,0.53018,0.01046955
5,1,60.0,0.6265764,0.014871569999999999
5,1,60.0,0.7229728000000001,0.02045359
5,1,60.0,0.8193691,0.02554845
5,1,60.0,0.9157654000000001,0.02895684
5,1,60.0,1.012162,0.03201877
5,1,60.0,1.108558,0.03448176
5,1,60.0,1.204954,0.03754887
5,1,60.0,1.301351,0.04066957
5,1,60.0,1.397747,0.04443343
5,1,60.0,1.494144,0.0484942
5,1,60.0,1.59054,0.0530272
5,1,60.0,1.686936,0.05773549
5,1,60.0,1.783333,0.06238273
5,1,60.0,1.879729,0.06772104999999999
5,1,60.0,2.024324,0.07646725
5,1,60.0,2.217116,0.08505874000000001
5,1,60.0,2.409909,0.093903
5,1,60.0,2.602702,0.09881861
5,1,60.0,2.795494,0.1020022
5,1,60.0,2.988288,0.1037009
5,1,60.0,3.181081,0.1040244
5,1,60.0,3.373874,0.1033434
5,1,60.0,3.566666,0.1014578
5,1,60.0,3.759459,0.09900025
5,1,60.0,4.096846,0.09013625
5,1,60.0,4.578828,0.08010403
5,1,60.0,5.060809,0.07071150000000001
5,1,60.0,5.542791,0.06257115
5,1,60.0,6.024772,0.05557037
5,1,60.0,6.506754,0.04940368
5,1,60.0,6.988736,0.04396482
5,1,60.0,7.470718,0.03919003
5,1,60.0,7.9527,0.03497412
5,1,60.0,8.434682,0.03132144
5,1,60.0,8.916663,0.028131859999999998
5,1,60.0,9.398645,0.02536444
5,1,60.0,9.880628,0.02303751
5,1,60.0,10.36261,0.02105415
5,1,60.0,10.84459,0.01935929
5,1,60.0,11.32657,0.01796328
5,1,60.0,11.80856,0.0168201
5,1,60.0,12.29054,0.01587245
5,1,60.0,12.77252,0.015065829999999999
5,1,60.0,13.2545,0.0144088
5,1,60.0,13.73648,0.0138673
5,1,60.0,14.21846,0.0134147
5,1,60.0,14.70044,0.01304085
5,1,60.0,15.18243,0.01272337
5,1,60.0,15.66441,0.01245203
5,1,60.0,16.14639,0.01221435
5,1,60.0,16.62837,0.01200248
5,1,60.0,17.11035,0.01181446
5,1,60.0,17.59234,0.01163966
5,1,60.0,18.07432,0.011460070000000001
5,1,60.0,18.5563,0.01128987
5,1,60.0,19.03828,0.01110353
5,1,60.0,19.76126,0.01081031
5,1,60.0,20.72522,0.010493579999999999
5,1,60.0,21.68918,0.01021103
5,1,60.0,22.65314,0.00995152
5,1,60.0,23.61711,0.009704875
5,1,60.0,24.58107,0.00950634
5,1,60.0,25.54504,0.009364209
5,1,60.0,26.509,0.009273828000000001
5,1,60.0,27.47296,0.009210405999999999
5,1,60.0,28.43693,0.009174507
5,1,60.0,29.40089,0.009190325
5,1,60.0,30.36485,0.009244829
5,1,60.0,31.32882,0.009307271
5,1,60.0,32.29278,0.009260791
5,1,60.0,33.25674,0.009156111
5,1,60.0,34.22071,0.008973989
5,1,60.0,35.18467,0.008705752
5,1,60.0,36.14864,0.008332614
5,1,60.0,37.1126,0.007848075999999999
5,1,60.0,38.07656,0.00733047
5,1,60.0,39.52251,0.006435828
5,1,60.0,41.45044,0.006561452999999999
5,1,60.0,43.37836,0.008325923
5,1,60.0,45.30629,0.0101807
5,1,60.0,47.23422,0.0075602560000000004
5,1,60.0,48.43917,0.006315068
5,1,60.0,48.92116,0.005268277
5,1,60.0,49.40314,0.004396402
5,1,60.0,49.88512,0.0032353530000000003
5,1,60.0,50.3671,0.002538729
5,1,60.0,50.84908,0.00209079
5,1,60.0,51.33106,0.002551812
5,1,60.0,51.81304,0.006769341
5,1,60.0,52.29503,0.018622430000000002
5,1,60.0,52.77701,0.02509523
5,1,60.0,53.25899,0.017356780000000002
5,1,60.0,53.74097,0.00696452
5,1,60.0,54.22295,0.001290874
5,1,60.0,54.70494,9.63623e-05
5,1,60.0,55.18692,6.40379e-06
5,1,60.0,55.6689,6.38342e-07
5,1,60.0,55.753,0.0
5,1,70.0,0.0,2.4699500000000003e-05
5,1,70.0,0.1445945,0.000664562
5,1,70.0,0.2409909,0.0027831239999999997
5,1,70.0,0.3373873,0.0039783380000000005
5,1,70.0,0.4337836,0.005756369
5,1,70.0,0.53018,0.008143364
5,1,70.0,0.6265764,0.01355834
5,1,70.0,0.7229728000000001,0.01894582
5,1,70.0,0.8193691,0.02299575
5,1,70.0,0.9157654000000001,0.026816800000000002
5,1,70.0,1.012162,0.029252120000000003
5,1,70.0,1.108558,0.0318523
5,1,70.0,1.204954,0.03398175
5,1,70.0,1.301351,0.03727702
5,1,70.0,1.397747,0.04096304
5,1,70.0,1.494144,0.045098990000000005
5,1,70.0,1.59054,0.04924711
5,1,70.0,1.686936,0.05359358
5,1,70.0,1.783333,0.058159140000000005
5,1,70.0,1.879729,0.06322006999999999
5,1,70.0,2.024324,0.07214365
5,1,70.0,2.217116,0.08061426
5,1,70.0,2.409909,0.08918685999999999
5,1,70.0,2.602702,0.09546119
5,1,70.0,2.795494,0.0992243
5,1,70.0,2.988288,0.1015253
5,1,70.0,3.181081,0.1022571
5,1,70.0,3.373874,0.1023148
5,1,70.0,3.566666,0.1012028
5,1,70.0,3.759459,0.09874324
5,1,70.0,4.096846,0.09046821
5,1,70.0,4.578828,0.08062742
5,1,70.0,5.060809,0.07158173999999999
5,1,70.0,5.542791,0.06353522
5,1,70.0,6.024772,0.05646645
5,1,70.0,6.506754,0.0501877
